"customer_state","delivered_orders","avg_delivery_days","avg_days_early_or_late"
"RR","40","29.50","15.40"
"AP","67","26.73","18.73"
"AM","145","25.99","18.61"
"AL","396","24.02","7.88"
"PA","942","23.30","13.08"
"MA","713","21.08","8.61"
"SE","332","20.95","9.01"
"CE","1273","20.79","9.78"
"AC","80","20.64","19.76"
"PB","516","19.92","12.34"
"PI","475","18.98","10.41"
"RO","243","18.91","19.13"
"BA","3253","18.87","9.91"
"RN","470","18.76","12.55"
"PE","1587","17.97","12.27"
"MT","885","17.61","13.38"
"TO","274","17.23","11.26"
"ES","1992","15.32","9.57"
"MS","701","15.19","10.17"
"GO","1950","15.16","11.15"
"RJ","12310","14.84","10.82"
"RS","5327","14.81","12.91"
"SC","3537","14.47","10.54"
"DF","2074","12.48","11.05"
"MG","11319","11.52","12.23"
"PR","4903","11.51","12.27"
"SP","40399","8.27","10.08"
