"customer_state","avg_product_price","avg_freight_cost","freight_pct_of_price"
"RR","155.95","43.39","27.83"
"MA","147.04","38.56","26.22"
"RO","167.34","41.33","24.70"
"AM","135.93","33.31","24.51"
"SE","151.31","36.71","24.26"
"PI","161.90","39.12","24.16"
"TO","156.14","37.44","23.98"
"AC","175.07","40.05","22.88"
"RN","157.71","35.77","22.68"
"PE","144.05","32.64","22.66"
"PB","192.37","43.12","22.42"
"PA","165.44","35.65","21.55"
"CE","153.60","32.71","21.29"
"AP","165.12","34.16","20.69"
"BA","134.06","26.49","19.76"
"AL","184.99","35.89","19.40"
"MT","147.00","28.00","19.05"
"ES","120.51","22.00","18.25"
"RS","118.75","21.61","18.20"
"GO","124.20","22.57","18.17"
"SC","123.60","21.51","17.40"
"PR","118.18","20.50","17.34"
"MG","120.23","20.64","17.16"
"RJ","124.24","20.92","16.84"
"DF","125.89","21.08","16.74"
"MS","142.33","23.35","16.41"
"SP","109.10","15.12","13.85"
