"customer_state","total_orders","total_revenue"
"SP","40406","5755999.76"
"RJ","12310","2046357.64"
"MG","11319","1813954.27"
"RS","5328","858574.68"
"PR","4903","779214.08"
"SC","3537","592627.06"
"BA","3253","590816.80"
"DF","2074","344923.24"
"GO","1950","333156.23"
"ES","1992","316666.12"
"PE","1587","307428.10"
"CE","1273","264551.39"
"PA","942","210740.48"
"MT","885","181122.98"
"MA","713","146804.70"
"PB","516","137763.81"
"MS","701","134367.55"
"PI","475","104932.10"
"RN","470","99833.44"
"AL","396","94095.89"
"SE","332","69943.21"
"TO","274","60007.37"
"RO","243","56966.00"
"AM","145","27585.47"
"AC","80","19575.33"
"AP","67","16141.81"
"RR","40","8970.50"
